"DisplayName","Nationality"
"Louis Aragon","French"
"Giuseppe Arcimboldo","Milanese"
"Johannes Baader","German"
"Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald)","German"
"Hans Baldung (Grien)","German"
"John Banting","British"
"Hans Bellmer","German"
"Vilhelm Bjerke-Petersen","Danish"
"William Blake","British"
"Hieronymus Bosch","Netherlandish"
"Victor Brauner","Romanian"
"Rodolphe Bresdin","French"
"André Breton","French"
"Pieter Bruegel I","Flemish"
"Luis Buñuel","Spanish"
"Edward Burra","British"
"Wilhelm Busch","German"
"Jacques Callot","French"
"Lewis Carroll (Charles Lutwidge Dodgson)","British"
"Federico Castellon","American"
"Ferdinand Cheval","French"
"René Clair","French"
"Emile Cohl","French"
"Thomas Cole","American"
"Joseph Cornell","American"
"George Cruikshank","British"
"Oscar Domínguez","French"
"Germaine Dulac","French"
"Paul Eluard","French"
"Lorser Feitelson","American"
"Oronce Fine","French"
"Wilhelm Freddie","Danish"
"Johann Heinrich Füssli","Swiss"
"Bernard Gaillot","French"
"C. Allan Gilbert","American"
"André Gill","French"
"James Gillray","British"
"Hector Guimard","French"
"Raoul Hausmann","Austrian"
"Elizabeth King Hawley","American"
"Stanley William Hayter","British"
"Hannah Höch","German"
"William Hogarth","English"
"Jean Hoisington","American"
"Hans Holbein, the younger","German"
"Georges Hugnet","French"
"Valentine Hugo","French"
"Victor Hugo","French"
"Peter Huys","Flemish"
"Wenzel Jamnitzer","German"
"Marcel Janco","Israeli"
"Marcel Jean","French"
"Sven Jonson","Swedish"
"Waldo Kaufer","American"
"Alfred Kubin","Austrian"
"Kukryniksy","Russian"
"Edward Lear","British"
"Helen Lundeberg","American"
"Dora Maar (Henriette Theodora Markovitch)","French"
"René Magritte","Belgian"
"Georges Méliès","French"
"Knud Merrild","American"
"Charles Meryon","French"
"E.L.T. (Edouard Léon Théodore) Mesens","Belgian"
"Reinhold Nägele","German"
"Richard Oelze","German"
"Axel Olson","Swedish"
"Meret Oppenheim","Swiss"
"Wolfgang Paalen","Austrian"
"Roland Penrose","British"
"Edwin S. Porter","American"
"Wallace Putnam","American"
"Charles Ramelet","French"
"Georges Ribemont-Dessaignes","French"
"Christian Schad","German"
"Kurt Seligmann","American"
"Sophie Taeuber-Arp","Swiss"
"Emilio Terry","French"
"Esias Thoren","Swedish"
"James Thurber","American"
"Tristan Tzara","French"
"Giovanni da Udine","Italian"
"Leonardo da Vinci","Italian"
"Robert Wiene","German"
"George A. Wotherspoon","American"
"Ruth Reeves","American"
"Gilbert Rohde","American"
"Henry Percy Adams","British"
"John James Burnet","Scottish"
"Serge Chermayeff","British"
"Edwin Maxwell Fry","British"
"Frederick Gibberd","English"
"Charles Holden","British"
"C. H. James","British"
"Geoffrey Allan Jellicoe","British"
"Felix J. Lander","British"
"Herbert Arthur Welch","British"
"Sir Evan Owen Williams","British"
"F.R.S. Yorke","English"
"John Ferren","American"
"Barbara Hepworth","British"
"De Hirsh Margules","American"
"Frank Mechau","American"
"Jean Xcéron","American"
"Beaumont Newhall","American"
"Ansel Adams","American"
"Antoine Samuel Adam-Salomon","French"
"Robert Adamson","British"
"Laure Albin-Guillot","French"
"James Craig Annan","British"
"Ottomar Anschütz","German"
"Eugène Atget","French"
"Édouard-Denis Baldus","French"
"Hippolyte Bayard","French"
"Cecil Beaton","British"
"Pierre Betz","French"
"Ilse Bing","American"
"Auguste Rosalie Bisson","French"
"Louis-Auguste Bisson","French"
"Erwin Blumenfeld","German"
"Margaret Bourke-White","American"
"Mathew B. Brady","American"
"Brassaï (Gyula Halász)","French"
"Adolphe Braun","French"
"A. de Brebisson","French"
"Anton Bruehl","American"
"Martin Bruehl","Austrian"
"André Calmettes","French"
"Julia Margaret Cameron","British"
"Pat Candido/The New York Daily News","Nationality unknown"
"Etienne Carjat","French"
"Henri Cartier-Bresson","French"
"Alvin Langdon Coburn","American"
"Leon Cremière","French"
"Imogen Cunningham","American"
"Louis-Jacques-Mandé Daguerre","French"
"Louise Dahl-Wolfe","American"
"Robert Demachy","French"
"Alexander Dovzhenko","Russian"
"Carl Theodor Dreyer","Danish"
"Maxime Du Camp","French"
"DuPont","Belgian"
"Dr. Harold E. Edgerton","American"
"Sergei Eisenstein","Russian"
"Peter Henry Emerson","British"
"Hugo Erfurth","German"
"Frank Eugene","American"
"Theodore Lux Feininger","American"
"Roger Fenton","British"
"Robert Flaherty","American"
"Gertrude Fuld","German"
"Girard","Nationality unknown"
"David Wark Griffith","American"
"Josiah Johnson Hawes","American"
"Walter Hege","German"
"Fritz Henle","American"
"Hugo Henneberg","Austrian"
"Florence Henri","American"
"David Octavius Hill","British"
"J. B. Holmes","British"
"Pierre Jahan","French"
"Theodor Jung","American"
"Gertrude Käsebier","American"
"Joseph Turner Keiley","American"
"André Kertész","American"
"Dmitri Kirsanov","French"
"François Kollar","French"
"Charles Krutch","American"
"Heinrich Kühn","German"
"Fritz Lang","Austrian"
"Henri Le Secq","French"
"Lege & Bergeron","French"
"Fay Sturtevant Lincoln","American"
"Louis Lumière","French"
"Ira Martin","American"
"Paul Martin","British"
"Charles Marville","French"
"Herbert Matter","American"
"John Jabez Edwin Mayall","British"
"Curtis Moffat","British"
"John Moffat","Scottish"
"Martin Munkácsi","American"
"Nickolas Muray","American"
"F.W. Murnau","German"
"Eadweard J. Muybridge","American"
"Nadar (Gaspard-Félix Tournachon)","French"
"Paul Nadar","French"
"Charles Nègre","French"
"Timothy O'Sullivan","American"
"Paul Outerbridge","American"
"G. W. Pabst","Austrian"
"Roger Parry","French"
"Pierre Petit","French"
"Vsevolod Pudovkin","Russian"
"Edme Quenedey","French"
"Oscar G. Rejlander","British"
"Henry Peach Robinson","British"
"Rogi André (Rozsa Klein)","Hungarian"
"George H. Seeley","American"
"Peter Sekaer","American"
"Mack Sennett","American"
"Ralph Steiner","American"
"Captain Albert W. Stevens","American"
"Paul Strand","American"
"Maurice Tabard","French"
"William Henry Fox Talbot","British"
"Alfredo Valente","American"
"William Warnecke","American"
"Hans Watzek","Austrian"
"Paul Wegener","German"
"Brett Weston","American"
"Edward Weston","American"
"John Adams Whipple","American"
"Clarence H. White","American"
"Ylla","American"
"Chaim Gross","American"
"John Steuart Curry","American"
"Jonas Lie","American"
"Mauricio Amster","Spanish"
"Lester Beall","American"
"Antonio Bisquert","Spanish"
"Cañavate","Spanish"
"Jesús Lozano","Spanish"
"Melendreras","Spanish"
"Oliver","Spanish"
"Iris Barry","American"
"Herbert Ferber","American"
"Albert Friscia","American"
"Hananiah Harari","American"
"Abraham Harriton","American"
"Milton Elting Hebald","American"
"Claire (Claire Mahl) Moore","American"
"Elizabeth Olds","American"
"De Vaulchier & Blow","American"
"Luis Quintanilla","Spanish"
"Camille Bombois","French"
"Jean Ève","French"
"Séraphine Louis","French"
"Dominique-Paul Peyronnet","French"
"Louis Vivin","French"
"Elizabeth Mock","American"
"Washington Allston","American"
"John Taylor Arms","American"
"John James Audubon","American"
"Frank Benson","American"
"James Wallace Black","American"
"Robert Brackman","American"
"Andrew R. Butler","American"
"Paul Cadmus","American"
"Charlie Chaplin","British"
"Nicolai Cikovsky","American"
"Howard Cook","American"
"Alan Crosland","American"
"Currier and Ives","American"
"Nathaniel Currier","American"
"Adolf Dehn","American"
"Kerry Eby","American"
"Eliot Elisofon","American"
"Laureen Ford","American"
"David Fredenthal","American"
