"DisplayName","Nationality"
"Afro (Afro Basaldella)","Italian"
"Luigi Bartolini","Italian"
"Pompeo Borra","Italian"
"Felice Casorati","Italian"
"Bruno Cassinari","Italian"
"Fabrizio Clerici","Italian"
"Filippo De Pisis","Italian"
"Antonio Donghi","Italian"
"Pericle Fazzini","Italian"
"Salvatore Fiume","Italian"
"Lucio Fontana","Italian"
"Virgilio Guidi","Italian"
"Renato Guttuso","Italian"
"Stanislao Lepri","Italian"
"Giacomo Manzù","Italian"
"Arturo Martini","Italian"
"Marcello Muccini","Italian"
"Fausto Pirandello","Italian"
"Armando Pizzinato","Italian"
"Ottone Rosai","Italian"
"Giuseppe Santomaso","Italian"
"Ardegno Soffici","Italian"
"Renzo Vespignani","Italian"
"Alberto Viani","Italian"
"Giuseppe Viviani","Italian"
"Emile Gallé","French"
"Rene Lalique","French"
"Benvenuto Cellini","Florentine"
"Lúcio Costa","Brazilian"
"Philibert de l'Orme","French"
"Jorge Machado Moreira","Brazilian"
"Pier Luigi Nervi","Italian"
"Auguste Perret","French"
"Andrea del Pozzo","Italian"
"Paolo Veronese","Italian"
"J.S. Anderson","British"
"Toni Del Renzio","Nationality unknown"
"Hermann Eidenbenz","Swiss"
"Hans Erni","Swiss"
"Franco Grignani","Italian"
"Roland Joffé","British"
"Robert M. Jones","Nationality unknown"
"Ray Komai","American"
"Tom Lee","American"
"Alvin Lustig","American"
"Lee Mullican","American"
"Jacques Nathan-Garamond","French"
"Douglas Scott","British"
"Charles G. Shaw","American"
"Gyozo Szilas","Hungarian"
"Harry Mohr Weese","American"
"Jean Colin","French"
"Cusden","British"
"Peter Hatch","British"
"Jerzy Karolak","Polish"
"Libra Studio","Dutch"
"Eryk Lipinski","Polish"
"G. R. Morris","British"
"Bruno Munari","Italian"
"Gorin Schlosser","Czech"
"Georg Trump","German"
"James White","Canadian"
"Milton Wynne","American"
"Adolf Zabransky","German"
"Zero (Hans Schleger)","British"
"Lee Gatch","American"
"Stanton Macdonald-Wright","American"
"Reuben Tam","American"
"Allan Adler","American"
"Beatrice Albert","American"
"Robert Budlong","American"
"Kaj Franck","Finnish"
"W. T. Gossard","American"
"Hermann Gretsch","German"
"International Business Machines Corp., Armonk, NY","American"
"Ernst Lichtblau","American"
"Marcello Nizzoli","Italian"
"Gunnel Nyman","Finnish"
"P. Rigatti, Empoli, Italy","Italian"
"Gerda Strömberg","Swedish"
"Vollrath Co., Sheboygan, WI","American"
"Louis-Émile Durandelle","French"
"Gustave Le Gray","French"
"Ad Reinhardt","American"
"Mark Rothko","American"
"Hedda Sterne","American"
